source,storage_name,metrica_field,type,description
visits,events_product_type,ym:s:eventsProductType,SMALLINT[],Тип события. Возможные значения:; - view_item_list — просмотр списка товара;; - click — клик по товару;; - detail — просмотр карточки товара;; - add — добавление товара в корзину;; - purchase — покупка;; - remove — удаление товара из корзины.
visits,events_product_name,ym:s:eventsProductName,VARCHAR[],Название товара
visits,products_purchase_id,ym:s:productsPurchaseID,VARCHAR[],"Идентификатор покупки. Для каждого купленного товара ym:s:productsID указывается транзакция, в рамках которой он был куплен. Идентификаторы могут дублироваться."
visits,products_id,ym:s:productsID,VARCHAR[],Идентификатор или код купленного товара
visits,products_name,ym:s:productsName,VARCHAR[],Название купленного товара
visits,products_price,ym:s:productsPrice,DOUBLE[],Цена купленного товара
visits,products_currency,ym:s:productsCurrency,VARCHAR[],Валюта купленного товара
visits,parsed_params_key1,ym:s:parsedParamsKey1,VARCHAR[],"Параметры визита, ур. 1"
visits,parsed_params_key2,ym:s:parsedParamsKey2,VARCHAR[],"Параметры визита, ур. 2"
visits,parsed_params_key3,ym:s:parsedParamsKey3,VARCHAR[],"Параметры визита, ур. 3"
visits,parsed_params_key4,ym:s:parsedParamsKey4,VARCHAR[],"Параметры визита, ур. 4"
visits,parsed_params_key5,ym:s:parsedParamsKey5,VARCHAR[],"Параметры визита, ур. 5"
visits,parsed_params_key6,ym:s:parsedParamsKey6,VARCHAR[],"Параметры визита, ур. 6"
visits,parsed_params_key7,ym:s:parsedParamsKey7,VARCHAR[],"Параметры визита, ур. 7"
visits,parsed_params_key8,ym:s:parsedParamsKey8,VARCHAR[],"Параметры визита, ур. 8"
visits,parsed_params_key9,ym:s:parsedParamsKey9,VARCHAR[],"Параметры визита, ур. 9"
visits,parsed_params_key10,ym:s:parsedParamsKey10,VARCHAR[],"Параметры визита, ур. 10"
visits,recommendation_system,ym:s:RecommendationSystem,VARCHAR,Переход из рекомендательных систем. Подробнее о параметре
visits,messenger,ym:s:Messenger,VARCHAR,Переход из мессенджера. Подробнее о параметре
hits,watch_id,ym:pv:watchID,HUGEINT,Идентификатор события
hits,page_view_id,ym:pv:pageViewID,BIGINT,"Идентификатор просмотра, в рамках которого произошло событие"
hits,client_id,ym:pv:clientID,HUGEINT,Анонимный идентификатор пользователя в браузере (first-party cookies)
hits,date,ym:pv:date,DATE,Дата события
hits,date_time,ym:pv:dateTime,TIMESTAMP,Дата и время события (в часовом поясе счетчика)
hits,goals_id,ym:pv:goalsID,BIGINT[],"Номера целей, достигнутых в данном событии"
hits,url,ym:pv:URL,VARCHAR,Адрес страницы
hits,referer,ym:pv:referer,VARCHAR,Реферер
hits,utm_campaign,ym:pv:UTMCampaign,VARCHAR,UTM Campaign
hits,utm_content,ym:pv:UTMContent,VARCHAR,UTM Content
hits,utm_medium,ym:pv:UTMMedium,VARCHAR,UTM Medium
hits,utm_source,ym:pv:UTMSource,VARCHAR,UTM Source
hits,utm_term,ym:pv:UTMTerm,VARCHAR,UTM Term
hits,last_traffic_source,ym:pv:lastTrafficSource,VARCHAR,Источник трафика
hits,last_search_engine_root,ym:pv:lastSearchEngineRoot,VARCHAR,Поисковая система
hits,last_search_engine,ym:pv:lastSearchEngine,VARCHAR,Поисковая система (детально)
hits,last_adv_engine,ym:pv:lastAdvEngine,VARCHAR,Рекламная система
hits,last_social_network,ym:pv:lastSocialNetwork,VARCHAR,Социальная сеть
hits,last_social_network_profile,ym:pv:lastSocialNetworkProfile,VARCHAR,"Страница социальной сети, с которой был переход"
hits,recommendation_system,ym:pv:recommendationSystem,VARCHAR,Рекомендательная система
hits,messenger,ym:pv:messenger,VARCHAR,Мессенджер
hits,browser,ym:pv:browser,VARCHAR,Браузер
hits,device_category,ym:pv:deviceCategory,VARCHAR,Тип устройства. Возможные значения:; - 1 — десктоп;; - 2 — мобильные телефоны;; - 3 — планшеты;; - 4 — TV
hits,operating_system_root,ym:pv:operatingSystemRoot,VARCHAR,Группа операционных систем
hits,screen_format,ym:pv:screenFormat,VARCHAR,Соотношение сторон. Возможные значения:; - undefined;; - 9:21;; - 9:16;; - 3:5;; - 10:16;; - 2:3;; - 3:4;; - 4:5;; - 5:4;; - 4:3;; - 3:2;; - 16:10;; - 5:3;; - 16:9;; - 21:9.
hits,screen_height,ym:pv:screenHeight,INTEGER,Логическая высота
hits,screen_orientation,ym:pv:screenOrientation,SMALLINT,"Ориентация экрана. 1 - portrait, 2 - landscape"
hits,screen_width,ym:pv:screenWidth,INTEGER,Логическая ширина
hits,region_country,ym:pv:regionCountry,VARCHAR,Страна (ISO)
hits,ecommerce,ym:pv:ecommerce,VARCHAR,События электронной коммерции
hits,params,ym:pv:params,VARCHAR,Параметры
hits,parsed_params_key1,ym:pv:parsedParamsKey1,VARCHAR[],"Параметры просмотра, ур. 1"
hits,parsed_params_key2,ym:pv:parsedParamsKey2,VARCHAR[],"Параметры просмотра, ур. 2"
hits,parsed_params_key3,ym:pv:parsedParamsKey3,VARCHAR[],"Параметры просмотра, ур. 3"
hits,parsed_params_key4,ym:pv:parsedParamsKey4,VARCHAR[],"Параметры просмотра, ур. 4"
hits,parsed_params_key5,ym:pv:parsedParamsKey5,VARCHAR[],"Параметры просмотра, ур. 5"
hits,parsed_params_key6,ym:pv:parsedParamsKey6,VARCHAR[],"Параметры просмотра, ур. 6"
hits,parsed_params_key7,ym:pv:parsedParamsKey7,VARCHAR[],"Параметры просмотра, ур. 7"
hits,parsed_params_key8,ym:pv:parsedParamsKey8,VARCHAR[],"Параметры просмотра, ур. 8"
hits,parsed_params_key9,ym:pv:parsedParamsKey9,VARCHAR[],"Параметры просмотра, ур. 9"
hits,parsed_params_key10,ym:pv:parsedParamsKey10,VARCHAR[],"Параметры просмотра, ур. 10"
